"TIME","GEO","UNIT","TRA_MEAS","SCHEDULE","TRA_COV","Value","Flag and Footnotes"
"2008Q1","Belgium","Passenger","Passengers on board","Total","Total transport","4,707,179",""
"2008Q1","Belgium","Passenger","Passengers on board (arrivals)","Total","Total transport","2,352,511",""
"2008Q1","Belgium","Passenger","Passengers on board (departures)","Total","Total transport","2,358,905",""
"2008Q1","Belgium","Passenger","Passengers carried","Total","Total transport","4,597,171",""
"2008Q1","Belgium","Passenger","Passengers carried (arrival)","Total","Total transport","2,297,968",""
"2008Q1","Belgium","Passenger","Passengers carried (departures)","Total","Total transport","2,302,910",""
"2008Q1","Belgium","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Belgium","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Belgium","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Belgium","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Belgium","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Belgium","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Bulgaria","Passenger","Passengers on board","Total","Total transport","759,850",""
"2008Q1","Bulgaria","Passenger","Passengers on board (arrivals)","Total","Total transport","370,781",""
"2008Q1","Bulgaria","Passenger","Passengers on board (departures)","Total","Total transport","406,405",""
"2008Q1","Bulgaria","Passenger","Passengers carried","Total","Total transport","755,462",""
"2008Q1","Bulgaria","Passenger","Passengers carried (arrival)","Total","Total transport","368,357",""
"2008Q1","Bulgaria","Passenger","Passengers carried (departures)","Total","Total transport","404,070",""
"2008Q1","Bulgaria","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Bulgaria","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Bulgaria","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Bulgaria","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Bulgaria","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Bulgaria","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Czechia","Passenger","Passengers on board","Total","Total transport","2,616,842",""
"2008Q1","Czechia","Passenger","Passengers on board (arrivals)","Total","Total transport","1,288,763",""
"2008Q1","Czechia","Passenger","Passengers on board (departures)","Total","Total transport","1,328,079",""
"2008Q1","Czechia","Passenger","Passengers carried","Total","Total transport","2,595,381",""
"2008Q1","Czechia","Passenger","Passengers carried (arrival)","Total","Total transport","1,278,053",""
"2008Q1","Czechia","Passenger","Passengers carried (departures)","Total","Total transport","1,317,328",""
"2008Q1","Czechia","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Czechia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Czechia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Czechia","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Czechia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Czechia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Denmark","Passenger","Passengers on board","Total","Total transport","5,533,231",""
"2008Q1","Denmark","Passenger","Passengers on board (arrivals)","Total","Total transport","2,987,683",""
"2008Q1","Denmark","Passenger","Passengers on board (departures)","Total","Total transport","2,970,633",""
"2008Q1","Denmark","Passenger","Passengers carried","Total","Total transport","5,568,434",""
