World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 3.6: Outbound tourism - Expenditure - passenger transport - US$ Million;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
;;;;;;;;;;;;;;;;;;;;;;;;
4;Afghanistan;..;..;..;..;..;..;..;..;..;..;..;..;..;2;2;3;9;5;6;3;4;10;14
8;Albania;12;13;8;17;23;18;12;21;18;27;22;24;63;89;107;92;112;90;88;99;73;76;40
12;Algeria;..;..;..;..;..;..;..;..;..;..;290;65;126;145;118;115;68;69;60;71;77;82;52
16;American Samoa;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
20;Andorra;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
24;Angola;38;37;27;21;15;10;14;33;37;47;61;245;261;193;137;127;143;129;150;392;243;229;239
660;Anguilla;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
28;Antigua And Barbuda;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
32;Argentina;735;865;1.011;1.052;1.033;1.035;995;416;486;604;764;939;1.142;1.401;1.272;1.497;1.935;2.349;2.489;1.854;2.366;2.703;3.010
51;Armenia;9;4;4;14;14;16;19;31;30;37;48;35;51;59;53;62;69;71;77;77;61;52;55
533;Aruba;6;8;5;5;11;17;21;13;25;30;24;23;19;22;21;18;18;19;22;22;17;13;13
36;Australia;2.440;2.625;2.619;2.377;2.617;2.677;2.449;2.677;3.097;4.035;4.404;4.756;5.598;5.940;3.942;5.293;6.596;7.148;6.622;5.543;4.880;4.879;5.240
40;Austria;799;762;610;818;790;769;829;842;1.138;1.575;1.761;..;..;..;..;..;..;..;..;..;..;..;2.175
