World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 3.4: Outbound tourism - Total expenditure - US$ Million;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
;;;;;;;;;;;;;;;;;;;;;;;;
4;Afghanistan;..;..;..;..;..;..;..;..;..;..;..;..;..;28;70;106;255;110;138;140;151;89;132
8;Albania;19;25;13;22;35;290;269;386;507;669;808;989;1.331;1.644;1.691;1.452;1.676;1.374;1.567;1.689;1.310;1.338;1.472
12;Algeria;..;..;..;..;..;..;..;..;..;..;660;414;502;613;574;716;595;598;531;679;762;556;632
16;American Samoa;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
20;Andorra;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
24;Angola;113;110;125;96;142;146;80;52;49;86;135;393;473;447;270;275;323;288;316;505;389;823;1.216
660;Anguilla;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
28;Antigua And Barbuda;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
32;Argentina;4.013;4.449;4.973;5.282;5.228;5.460;4.888;2.744;2.997;3.208;3.554;4.047;5.077;5.987;5.808;6.448;7.602;8.466;8.421;7.837;9.348;11.729;13.516
51;Armenia;12;26;45;55;51;56;59;85;97;199;255;300;430;494;496;641;756;874;1.007;1.101;1.057;1.119;1.325
533;Aruba;79;128;161;140;151;163;156;172;213;248;250;241;270;272;264;261;287;294;342;352;361;332;362
36;Australia;7.605;8.545;8.880;8.307;8.798;9.065;8.184;8.640;10.434;14.702;16.153;17.293;22.052;25.557;22.680;27.851;33.967;35.226;35.197;32.462;28.614;32.923;39.491
40;Austria;11.686;11.777;10.672;10.399;7.517;7.001;7.408;7.743;9.761;10.812;11.077;..;..;..;..;..;..;..;..;..;..;..;12.739
31;Azerbaijan;165;115;193;181;149;138;119;110;120;140;188;256;381;456;488;856;1.778;2.617;3.032;3.163;2.743;2.593;2.803
44;Bahamas;241;279;310;310;310;348;342;338;404;469;528;541;538;460;386;369;347;384;362;328;348;440;..
48;Bahrain;320;298;318;327;395;425;423;550;492;528;574;639;671;704;597;684;899;975;1.001;758;942;1.921;1.823
50;Bangladesh;..;251;314;294;375;471;341;309;389;442;371;481;578;708;661;852;819;889;1.308;782;827;841;1.118
52;Barbados;110;114;120;126;132;141;149;146;153;163;274;284;290;279;293;351;124;84;78;..;..;..;..
112;Belarus;101;142;122;138;133;247;486;527;436;500;516;675;724;860;752;748;729;948;1.333;1.308;997;891;1.082
56;Belgium;..;..;..;..;..;..;10.878;11.270;13.402;15.456;16.771;17.891;19.215;..;..;..;..;22.367;24.511;26.435;21.109;21.575;22.984
84;Belize;33;38;30;33;39;44;45;48;50;47;45;43;46;44;43;39;37;39;42;51;50;55;53
204;Benin;48;51;34;32;63;50;48;49;53;59;58;71;107;102;88;91;81;96;40;54;141;87;..
60;Bermuda;..;..;..;..;..;..;..;..;..;..;..;394;453;459;407;417;326;327;322;378;381;392;..
64;Bhutan;..;..;..;..;..;..;..;..;..;..;..;..;..;65;34;43;58;69;67;45;44;52;61
68;Bolivia, Plurinational State Of;72;87;96;98;117;116;114;114;197;232;257;360;385;381;388;421;410;502;660;953;849;960;1.017
534;Bonaire;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
70;Bosnia And Herzegovina;..;..;..;97;101;92;96;112;145;162;158;210;264;345;285;247;214;196;198;211;194;206;249
72;Botswana;153;92;104;138;155;209;215;197;235;280;283;280;282;230;232;299;316;332;262;277;274;254;276
76;Brazil;3.982;4.988;6.208;6.019;3.551;4.548;3.765;2.929;2.874;3.752;5.905;7.501;10.434;13.269;12.897;18.883;24.608;26.008;29.286;29.998;20.356;17.068;22.991
92;British Virgin Islands;40;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
96;Brunei Darussalam;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
100;Bulgaria;312;314;355;654;747;764;836;1.018;1.467;1.935;1.858;2.099;2.142;2.602;1.955;975;1.063;1.096;1.342;1.459;1.346;1.636;2.047
854;Burkina Faso;..;..;..;..;..;30;35;36;50;67;74;84;93;110;111;110;129;146;215;176;160;176;..
108;Burundi;..;..;..;..;..;..;..;..;..;29;62;126;106;151;71;35;49;..;..;..;..;..;..
132;Cabo Verde;20;24;25;32;47;41;55;63;89;93;82;106;123;143;145;138;142;135;127;115;109;75;90
116;Cambodia;22;31;28;35;41;52;59;64;60;80;137;176;194;180;163;131;344;406;469;526;622;740;..
120;Cameroon;140;155;175;210;192;241;199;205;272;394;480;521;466;563;476;265;622;668;795;830;742;818;..
124;Canada;12.658;13.815;14.151;13.384;13.999;15.125;14.634;14.257;16.309;19.267;22.739;26.067;31.099;33.844;30.065;36.975;41.234;43.010;43.092;41.669;36.372;..;..
136;Cayman Islands;..;..;..;..;..;..;..;..;..;..;..;164;132;130;120;129;145;175;183;161;183;166;..
140;Central African Republic;43;44;51;44;33;33;29;29;31;32;46;47;54;56;61;67;68;69;70;..;..;..;..
148;Chad;38;49;53;66;53;56;56;80;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
152;Chile;934;977;1.132;1.174;1.032;904;939;932;1.109;1.251;1.114;1.238;1.408;1.386;1.511;1.736;2.085;2.400;2.499;2.707;2.518;2.733;2.982
156;China;..;..;9.220;9.943;11.621;14.169;14.992;16.759;16.716;21.360;..;..;..;..;..;..;..;..;..;..;..;..;..
170;Colombia;1.162;1.431;1.560;1.455;1.339;1.452;1.556;1.355;1.349;1.543;1.934;2.157;2.460;2.775;2.801;3.188;3.631;4.363;4.485;5.175;4.820;4.825;5.190
174;Comoros;15;..;..;..;..;..;..;..;8;9;19;24;28;31;30;33;37;36;..;..;..;..;..
178;Congo;69;86;68;69;71;59;82;85;118;176;..;..;157;217;549;312;327;308;360;435;557;..;..
180;Congo, Democratic Republic Of The;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
184;Cook Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
188;Costa Rica;336;357;401;466;509;545;430;427;484;530;591;647;825;753;500;629;620;647;649;657;898;1.040;1.129
384;Côte D'Ivoire;312;347;317;331;337;291;289;490;551;571;549;583;606;612;589;569;580;560;583;625;560;491;..
191;Croatia;..;..;..;..;806;634;677;852;709;881;786;770;1.025;1.167;1.042;861;918;962;923;865;770;954;1.399
192;Cuba;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
535;Curaçao;..;..;..;..;..;..;..;137;176;195;164;191;223;229;258;282;321;357;377;383;418;428;457
196;Cyprus;473;500;512;538;554;533;559;568;698;901;988;1.028;1.542;1.969;1.740;1.611;1.730;1.687;1.621;1.771;1.439;1.604;1.781
203;Czech Republic;..;..;..;..;..;..;..;1.797;2.177;2.682;2.603;2.874;3.704;5.029;4.336;4.354;4.876;4.556;4.698;5.173;4.819;4.963;5.518
208;Denmark;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
262;Djibouti;16;17;17;16;12;15;13;8;10;14;14;15;14;16;18;21;34;30;31;34;35;35;..
212;Dominica;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
214;Dominican Republic;267;313;339;380;391;440;425;429;408;448;511;495;531;532;523;662;689;690;679;717;803;882;941
218;Ecuador;331;313;331;325;385;416;465;507;500;577;644;706;733;790;806;863;917;944;989;990;994;1.034;1.087
818;Egypt;1.371;1.382;1.431;1.271;1.218;1.206;1.248;1.309;1.465;1.543;1.932;2.156;2.886;3.390;2.941;2.696;2.575;3.037;3.261;3.486;3.636;4.351;2.419
222;El Salvador;99;102;..;..;205;219;247;266;311;373;288;307;363;326;253;280;244;287;270;277;332;451;466
226;Equatorial Guinea;7;13;7;7;8;19;30;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
