World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 1.20: Inbound tourism - Arrivals by air - Thousands;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
;;;;;;;;;;;;;;;;;;;;;;;;
4;Afghanistan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
8;Albania;45;39;32;79;86;72;91;80;87;103;128;151;182;206;227;246;267;273;314;337;401;457;578
12;Algeria;346;370;343;..;369;382;403;456;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
16;American Samoa;..;..;..;..;..;..;..;..;..;..;..;..;..;19;20;20;19;19;18;17;16;16;..
20;Andorra;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
24;Angola;9;20;44;51;43;48;58;61;83;144;153;120;172;294;366;425;481;528;650;595;592;397;..
660;Anguilla;29;28;33;29;29;28;32;30;28;24;32;33;35;27;17;17;18;15;15;14;13;13;13
28;Antigua And Barbuda;191;202;211;204;208;207;193;198;224;246;245;254;262;266;234;230;241;247;243;249;250;265;247
32;Argentina;..;..;..;..;..;1.192;998;928;1.227;1.666;2.069;2.279;2.566;2.586;2.220;2.818;2.832;2.709;2.530;2.609;2.426;2.390;..
51;Armenia;11;12;20;29;36;39;107;135;173;196;225;270;344;371;382;460;503;564;618;701;693;740;766
533;Aruba;619;641;650;647;683;721;691;643;642;728;733;694;772;827;813;824;869;904;979;1.072;1.225;1.102;1.071
36;Australia;3.712;4.149;4.305;4.146;4.427;4.904;4.832;4.819;4.730;5.201;5.486;5.514;5.619;5.558;5.464;5.772;5.760;6.017;6.386;6.862;7.384;8.206;8.741
40;Austria;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
31;Azerbaijan;..;195;286;466;564;658;739;173;217;276;276;281;297;572;624;646;795;946;994;1.089;969;1.165;..
44;Bahamas;1.317;1.368;1.368;1.305;1.439;1.481;1.428;1.403;1.429;1.450;1.515;1.492;1.487;1.393;1.252;1.295;1.268;1.357;1.281;1.343;1.391;1.392;1.336
48;Bahrain;..;505;552;606;656;720;791;920;974;1.176;1.301;1.544;1.642;1.855;1.941;2.280;1.521;1.628;1.615;1.706;1.048;1.069;1.196
50;Bangladesh;131;136;148;139;134;151;158;151;187;218;140;151;227;..;..;..;..;..;..;..;..;..;..
52;Barbados;434;438;461;499;507;538;498;492;526;546;544;557;575;568;519;532;568;536;509;521;592;632;664
112;Belarus;..;..;..;..;..;..;..;..;..;..;..;122;162;194;200;231;256;253;268;294;324;818;992
56;Belgium;6.230;6.657;6.517;7.704;9.973;10.771;9.786;7.102;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
84;Belize;94;94;98;109;115;132;134;130;152;163;175;179;183;178;168;172;182;212;224;239;256;298;..
