World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 4.1: Tourism industries - Total number of establishments - Units;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
;;;;;;;;;;;;;;;;;;;;;;;;
4;Afghanistan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
8;Albania;..;..;..;..;..;..;..;..;..;9.742;12.735;14.290;15.700;17.669;19.258;19.660;20.475;20.351;20.760;20.976;24.485;26.336;..
12;Algeria;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
16;American Samoa;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
20;Andorra;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
24;Angola;..;..;..;..;..;..;..;..;..;..;..;2.760;2.384;2.513;3.127;4.486;4.911;5.482;5.766;6.277;6.378;6.720;..
660;Anguilla;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
28;Antigua And Barbuda;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
32;Argentina;..;..;..;..;..;..;11.030;10.998;41.637;12.230;13.177;13.907;14.794;15.495;16.577;18.251;19.158;19.374;20.813;21.631;21.718;22.187;..
51;Armenia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3.925;4.003;4.081;4.168;4.244;4.508;4.572
533;Aruba;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
36;Australia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
40;Austria;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
31;Azerbaijan;..;..;..;..;..;..;..;..;..;..;346;365;395;568;651;700;724;684;727;753;779;820;..
44;Bahamas;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
48;Bahrain;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;902
50;Bangladesh;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
52;Barbados;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
112;Belarus;..;..;..;1.050;1.024;989;994;984;1.022;1.035;1.002;1.021;1.077;1.204;1.375;1.476;1.656;1.877;2.030;2.250;2.378;2.428;2.516
56;Belgium;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;82.359;83.030;84.924;86.164;..;..;..;..
84;Belize;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
